"Time","Probe-1","Probe-2","Probe-3","Probe-4"
2023-05-02 08:30:00,24.7,27.4,24.7,25.3
2023-05-02 08:35:00,27.1,24.6,26.2,24.6
2023-05-02 08:40:00,31.2,25.0,30.1,24.6
2023-05-02 08:45:00,34.9,25.5,34.0,24.7
2023-05-02 08:50:00,38.5,26.0,37.4,24.7
2023-05-02 08:55:00,41.7,26.6,41.1,24.7
2023-05-02 09:00:00,45.5,27.3,44.2,24.7
2023-05-02 09:05:00,49.8,27.9,48.8,24.8
2023-05-02 09:10:00,51.2,28.5,50.6,24.7
2023-05-02 09:15:00,51.0,28.9,50.5,24.7
2023-05-02 09:20:00,50.7,29.2,50.2,24.7
2023-05-02 09:25:00,50.5,29.4,50.0,24.8
2023-05-02 09:30:00,50.4,29.5,49.8,24.8
2023-05-02 09:35:00,50.2,29.4,49.7,24.7
2023-05-02 09:40:00,50.1,29.4,49.6,24.8
2023-05-02 09:45:00,50.0,29.3,49.5,24.9
2023-05-02 09:50:00,49.8,29.3,49.3,24.8
2023-05-02 09:55:00,49.7,29.5,49.2,24.8
2023-05-02 10:00:00,49.6,29.5,49.1,24.8
2023-05-02 10:05:00,49.4,29.5,49.0,24.8
2023-05-02 10:10:00,49.3,29.5,48.9,24.8
2023-05-02 10:15:00,49.1,29.4,48.8,24.8
2023-05-02 10:20:00,49.0,29.3,48.6,24.9
2023-05-02 10:25:00,48.8,29.1,48.5,25.1
2023-05-02 10:30:00,48.7,29.1,48.4,25.0
2023-05-02 10:35:00,48.6,29.3,48.4,24.9
2023-05-02 10:40:00,48.5,29.3,48.3,24.9
2023-05-02 10:45:00,48.4,29.3,48.2,24.9
2023-05-02 10:50:00,48.3,29.3,48.1,24.9
2023-05-02 10:55:00,48.2,29.3,47.5,25.0
2023-05-02 11:00:00,48.1,29.3,47.5,25.0
2023-05-02 11:05:00,47.9,29.3,47.4,25.0
2023-05-02 11:10:00,47.1,29.2,46.9,25.0
2023-05-02 11:15:00,46.7,29.2,46.9,25.0
2023-05-02 11:20:00,46.9,29.2,46.4,24.9
2023-05-02 11:25:00,46.9,29.1,47.0,24.9
2023-05-02 11:30:00,46.6,29.2,47.0,24.9
2023-05-02 11:35:00,46.5,29.1,46.7,24.9
2023-05-02 11:40:00,46.9,29.1,46.3,24.9
2023-05-02 11:45:00,46.8,29.1,46.6,25.0
2023-05-02 11:50:00,46.4,29.1,46.4,24.9
2023-05-02 11:55:00,45.7,29.0,46.4,24.9
2023-05-02 12:00:00,46.2,29.0,45.9,24.9
2023-05-02 12:05:00,46.6,28.8,45.8,24.9
2023-05-02 12:10:00,46.1,28.9,46.1,24.9
2023-05-02 12:15:00,46.1,29.0,46.1,24.9
2023-05-02 12:20:00,45.6,29.0,45.6,25.0
2023-05-02 12:25:00,45.7,29.0,45.6,25.0
2023-05-02 12:30:00,45.5,29.0,45.4,25.0
2023-05-02 12:35:00,45.7,29.0,45.2,25.0
2023-05-02 12:40:00,45.7,29.0,45.6,25.0
2023-05-02 12:45:00,45.6,29.0,45.5,25.0
2023-05-02 12:50:00,45.4,29.0,45.2,25.0
2023-05-02 12:55:00,45.1,28.9,45.2,25.0
2023-05-02 13:00:00,45.4,28.9,45.1,25.0
2023-05-02 13:05:00,44.7,28.9,44.9,25.0
2023-05-02 13:10:00,45.2,28.9,45.0,25.1
2023-05-02 13:15:00,44.9,28.9,44.4,25.2
2023-05-02 13:20:00,44.8,28.8,44.9,25.1
2023-05-02 13:25:00,44.6,28.9,44.6,25.1
2023-05-02 13:30:00,44.7,28.9,44.4,25.1
2023-05-02 13:35:00,44.4,28.9,44.4,25.1
2023-05-02 13:40:00,44.4,29.0,44.3,25.2
2023-05-02 13:45:00,44.0,28.9,44.6,25.1
