t,T,TT
0,24.7,24.5
10,24.827826590809252,24.517733659277535
20,24.95563933568452,24.53841065959741
30,25.083438606539016,24.5581081188834
40,25.211224281874475,24.5761459213687
50,25.338996154672557,24.592841765160568
60,25.46675405789654,24.608602465790497
70,25.594497875694223,24.623708926447414
80,25.722227527556008,24.63832993450981
90,25.849942954210114,24.652567388980952
100,25.97764410920763,24.666487030705703
110,26.105330954373454,24.68013468763614
120,26.23300345730086,24.693544390198287
130,26.360661589867075,24.706742577005897
140,26.488305327277935,24.719750455922433
150,26.615934647409624,24.73258544572703
160,26.74354953033179,24.745262118647243
170,26.87114995794928,24.757792848586718
180,26.998735913725437,24.770188274074055
190,27.126307382463633,24.7824576387192
200,27.253864350131696,24.794609047611242
210,27.381406803718555,24.806649664295403
220,27.50893473111571,24.818585864701763
230,27.636448121018052,24.83042335922932
240,27.763946962840073,24.842167290843452
250,27.8914312466444,24.853822314816874
260,28.01890096308039,24.86539266422366
270,28.14635610333095,24.876882204235788
280,28.273796659066203,24.88829447751876
290,28.401222622402862,24.89963274247869
300,28.528633985868435,24.910900005714428
310,28.65603074236949,24.922099049731457
320,28.78341288516344,24.93323245675116
330,28.91078040783329,24.944302629278823
340,29.038133304265017,24.95531180796299
350,29.165471568627154,24.966262087177068
360,29.292795195352376,24.977155428674372
370,29.420104179120774,24.987993673604812
380,29.547398514844666,24.998778553131178
390,29.67467819765473,25.009511697842772
400,29.801943222887324,25.020194646131497
410,29.929193586072877,25.030828851669153
420,30.0564292829252,25.041415690102937
430,30.183650309331654,25.051956465068454
440,30.31085666134406,25.0624524136047
450,30.43804833517033,25.072904711043364
460,30.565225327166655,25.083314475434477
470,30.692387633830304,25.09368277156189
480,30.819535251792896,25.104010614594873
490,30.946668177814153,25.114298973415973
500,31.07378640877605,25.12454877366008
510,31.200889941677374,25.13476090049528
520,31.327978773628608,25.144936201172165
530,31.455052901847157,25.15507548736519
540,31.582112323652858,25.1651795373267
550,31.709157036463754,25.175249097871987
560,31.836187037792147,25.18528488621146
570,31.96320232524085,25.19528759164439
580,32.09020289649966,25.20525787712697
590,32.21718874934206,25.215196380726073
600,32.34415988162203,25.225103716968903
610,32.471116291271144,25.234980478097647
620,32.59805797629569,25.244827235237295
630,32.72498493477405,25.254644539484012
640,32.851897164854144,25.264432922920605
650,32.97879466475106,25.274192899565136
660,33.105677432744734,25.28392496625801
670,33.232545467177836,25.29362960349245
680,33.359398766453644,25.303307276192776
690,33.48623732903412,25.3129584344445
700,33.613061153438025,25.32258351417989
710,33.739870238239135,25.332182937822356
720,33.86666458206452,25.34175711489263
730,33.99344418359295,25.35130644257958
740,34.12020904155328,25.36083130627815
750,34.24695915472302,25.37033208009675
760,34.37369452192688,25.37980912733623
770,34.5004151420354,25.389262800942404
780,34.62712101396366,25.398693443933862
790,34.753812136670014,25.408101389806795
800,34.88048850915488,25.417486962918304
810,35.007150130459614,25.4268504788496
820,35.133796999665364,25.43619224475041
830,35.26042911589202,25.445512559665747
840,35.38704647829722,25.4548117148462
850,35.513649086075304,25.464089994042727
860,35.64023693845642,25.473347673786897
870,35.766810034705586,25.482585023657503
880,35.89336837412181,25.49180230653433
890,36.01991195603727,25.50099977883983
900,36.146440779816444,25.51017769076944
910,36.272954844855384,25.51933628651117
920,36.399454150580915,25.528475804455102
930,36.52593869644992,25.53759647739336
940,36.652408481948626,25.54669853271105
950,36.778863506591925,25.55578219256875
960,36.9053037699227,25.5648476740769
970,37.03172927151122,25.573895189462668
980,37.15814001095446,25.582924946229546
990,37.284535987875586,25.59193714731018
1000,37.410917201923304,25.60093199121274
1010,37.53728365277134,25.60990967216115
1020,37.6636353401179,25.618870380229545
1030,37.7899722636851,25.627814301471176
1040,37.91629442321852,25.63674161804212
1050,38.042601818486666,25.64565250832001
1060,38.168894449280515,25.65454714701803
1070,38.29517231541304,25.663425705294426
1080,38.421435416718765,25.672288350857738
1090,38.54768375305332,25.68113524806795
1100,38.67391732429303,25.689966558033802
1110,38.8001361303345,25.698782438706356
1120,38.9263401710942,25.70758304496908
1130,39.05252944650812,25.71636852872455
1140,39.178703956531315,25.72513903897798
1150,39.30486370113763,25.73389472191764
1160,39.43100868031927,25.74263572099242
1170,39.557138894086506,25.75136217698655
1180,39.683254342467286,25.76007422809168
1190,39.80935502550695,25.76877200997639
1200,39.935440943267906,25.777455655853316
1210,40.06151209582928,25.786125296543858
1220,40.18756848328666,25.79478106054074
1230,40.313610105751785,25.803423074068355
1240,40.439636963352235,25.812051461141145
1250,40.565649056231194,25.82066634361993
1260,40.69164638454714,25.829267841266436
1270,40.8176289484736,25.83785607179595
1280,40.943596748198864,25.846431150928318
1290,41.06954978392578,25.854993192437192
1300,41.195488055871465,25.86354230819779
1310,41.32141156426708,25.872078608233018
1320,41.4473203093576,25.88060220075822
1330,41.57321429140157,25.889113192224425
1340,41.69909351067089,25.89761168736033
1350,41.82495796745061,25.906097789212893
1360,41.950807662038684,25.91457159918673
1370,42.076642594745806,25.923033217082274
1380,42.20246276589516,25.93148274113279
1390,42.32826817582226,25.939920268040265
1400,42.45405882487473,25.94834589301022
1410,42.57983471341212,25.95675970978549
1420,42.70559584180574,25.965161810679
1430,42.83134221043845,25.973552286605596
1440,42.957073819704505,25.981931227112916
1450,43.08279067000936,25.99029872041141
1460,43.20849276176953,25.998654853403455
1470,43.334180095412385,26.00699971171168
1480,43.459852671376034,26.01533337970644
1490,43.58551049010912,26.023655940532578
1500,43.711153552070705,26.031967476135378
1510,43.83678185773009,26.04026806728584
